Generator,Real time (s),Real time variance,User time (s),User time variance,Difference (Real - User time),Energy consumption (J/min),Energy consumption during real time (J)
mt19937arIntegerO2,4.743366666666668,0.03560927471264366,4.7386,0.03539273103448277,0.004766666666667696,3323.89,262.7738171611112
mt19937arIntegerO3,4.292333333333333,0.11800464367816095,4.290366666666667,0.11791086091954024,0.00196666666666534,3607.7349999999997,258.09335330555547
mt19937arIntegerR,7.101000000000001,0.16065758620689644,7.097499999999998,0.15948515517241377,0.003500000000002501,3419.125,404.65344375000006
numpyIntegerMt_numpyIntegerMtRandomGenerationAtOnce,4.551866666666666,0.1308721885057471,5.146533333333333,0.11990411954022988,-0.5946666666666669,4847.665,367.76541207777774
numpyIntegerMt_numpyIntegerMtRandomGenerationOneByOne,6327.762666666665,77323.71811471261,6328.496200000002,77348.20327120001,-0.7335333333376184,45223.56206896552,4769399.4618947115
numpyIntegerPhilox_numpyIntegerPhiloxRandomGenerationAtOnce,6.772866666666665,0.15895742988505743,7.369800000000001,0.16249402758620698,-0.596933333333336,4849.215,547.3847772166665
numpyIntegerPhilox_numpyIntegerPhiloxRandomGenerationOneByOne,6552.208433333333,49609.537693771235,6553.128133333333,49627.2739763954,-0.919699999999466,64212.808928571416,7012261.80316346
numpyIntegerR_numpyIntegerRandomGenerationAtOnce,3.4213333333333336,0.2778338850574712,3.9793333333333334,0.24018078160919537,-0.5579999999999998,4688.14,267.32816088888893
numpyIntegerR_numpyIntegerRandomGenerationOneByOne,6458.611266666666,29731.226886891945,6459.4995,29756.44412901723,-0.8882333333340284,5925.941379310343,637889.1959669997
numpyIntegerTaskset_numpyIntegerTasksetRandomGenerationAtOnce,2.598366666666666,0.00010134367816091952,2.2034333333333334,0.0023462540229885033,0.39493333333333247,4766.348275862068,206.4120080287355
pcg32IntegerR,2.452033333333333,0.2623192057471264,2.4505,0.2614450172413793,0.0015333333333331645,3209.7,131.17152316666665
philoxIntegerR,90.06043333333334,0.8233662540229879,90.0577666666667,0.8211610816091908,0.002666666666641504,4845.4800000000005,7273.100475133334
pythonIntegerR_pythonIntegerRandomGenerationAtOnce,489.0244666666667,23.150945222988522,453.2894333333334,15.438946047126404,35.73503333333326,4375.205,35659.70486137222
pythonIntegerR_pythonIntegerRandomGenerationOneByOne,425.9194333333333,21.97728259885056,425.9053666666667,21.98476644712646,0.01406666666662204,5410.519310344826,38407.4219783521
pythonIntegerTaskset_pythonIntegerTasksetRandomGenerationAtOnce,486.1138333333333,30.353489867816105,452.9372333333333,20.35909349540229,33.17659999999995,4298.715,34827.747117625004
pytorchIntegerR_pytorchIntegerRandomGenerationAtOnce,9.086766666666668,0.07867397816091957,8.931566666666665,0.04828694367816087,0.15520000000000245,4812.527586206897,728.838587545977
pytorchIntegerR_pytorchIntegerRandomGenerationOneByOne,2281.7916,8409.516744662069,2282.3334000000004,8415.962512386206,-0.5418000000004213,8846.437142857145,336428.7660416572
pytorchIntegerTaskset_pytorchIntegerTasksetRandomGenerationAtOnce,8.062233333333332,0.031242254022988518,7.119666666666666,0.02589919540229886,0.9425666666666652,4766.960000000002,640.5390635111112
tensorflowIntegerR_tensorflowIntegerRandomGenerationAtOnce,3.2186333333333335,0.00778065402298851,17.890566666666665,0.2898039091954021,-14.671933333333332,4893.7241379310335,262.51839390804594
tensorflowIntegerTaskset_tensorflowIntegerTasksetRandomGenerationAtOnce,7.082533333333333,0.014976671264367818,6.230566666666666,0.009662047126436776,0.8519666666666668,4800.250000000001,566.6321772222223
